													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Nehemiah	N/A	Ezra–Nehemiah is the original combined version of the biblical books of Ezra and Nehemiah—the two were originally one, but were divided by Christians in the 3rd century CE and in Jewish circles in the 15th century. The text of Ezra–Nehemiah is composed largely in Late Biblical Hebrew with significant sections in Aramaic; there are occasional reflections of Old Persian vocabulary, but little significant influence from Greek. Covering the period from the fall of Babylon in 539 BCE to the second half of the 5th century BCE, it tells of the successive missions to Jerusalem of Zerubbabel, Ezra, and Nehemiah, and their efforts to restore the worship of the God of Israel and to create a purified Jewish community. The narrative is highly schematic, each stage of the restoration following the same pattern: God "stirs up" the Persian king, the king commissions a Jewish leader to undertake a task, the leader overcomes opposition and succeeds, and success is marked by a great assembly.		-400	50	Second Temple Judea	1488	Soncino	Biblical	Neh.,Neh	נחמיה		Tanach,Writings
I Chronicles	N/A	The two Books of Chronicles are the final books of the Tanakh. They follow the two Books of Kings and precede Ezra–Nehemiah, thus concluding the history-oriented books of the Tanakh. Chronicles begins at the beginning of the history of humanity, with Adam, and the story is then carried forward, almost entirely by genealogical lists, down to the founding of the Israelite monarchy (1 Chronicles 1–9). The bulk of the remainder of 1 Chronicles, after a brief account of Saul, is concerned with the reign of David (1 Chronicles 11–29). The next long section concerns David's son Solomon (2 Chronicles 1–9), and the final part is concerned with the kingdom of Judah with occasional references to the kingdom of Israel (2 Chronicles 10–36). In the last chapter Judah is destroyed and the people taken into exile in Babylon, and in the final verses the Persian king Cyrus conquers Babylon, and authorises the restoration of the Temple in Jerusalem, and the return of the exiles.		-400	50	Second Temple Judea	1488	Soncino	Biblical	1 Chronicles,1Ch.,1 Chron,1 Chr,Chronicles I,I Chr,1 Chron.,I Chr.,I Divrei HaYamim,Divrei HaYamim I,Divrei HaYamim Aleph,First Chronicles,1Ch,I Divrei Ha-yamim,I Divrei Ha-Yamim	דברי הימים א	דברי הימים א׳,דברי בימים א'	Tanach,Writings
II Chronicles	N/A	The two Books of Chronicles are the final books of the Tanakh. They follow the two Books of Kings and precede Ezra–Nehemiah, thus concluding the history-oriented books of the Tanakh. Chronicles begins at the beginning of the history of humanity, with Adam, and the story is then carried forward, almost entirely by genealogical lists, down to the founding of the Israelite monarchy (1 Chronicles 1–9). The bulk of the remainder of 1 Chronicles, after a brief account of Saul, is concerned with the reign of David (1 Chronicles 11–29). The next long section concerns David's son Solomon (2 Chronicles 1–9), and the final part is concerned with the kingdom of Judah with occasional references to the kingdom of Israel (2 Chronicles 10–36). In the last chapter Judah is destroyed and the people taken into exile in Babylon, and in the final verses the Persian king Cyrus conquers Babylon, and authorises the restoration of the Temple in Jerusalem, and the return of the exiles.		-400	50	Second Temple Judea	1488	Soncino	Biblical	2 Chronicles,II Divrei HaYamim,Second Chronicles,2 Chron,2 Chron.,2Ch.,II Chr.,Chronicles II,2Ch,II Chr,2 Chr,Divrei HaYamim II,Divrei HaYamim Bet,II Divrei Ha-yamim,II Divrei Ha-Yamim	דברי הימים ב	דברי הימים ב׳,דברי הימים ב'	Tanach,Writings
Mishnah Berakhot	N/A	Berakhot (Blessings) belongs to the first order, Zera'im (seeds) and discusses the rules of blessings and prayers, particularly the Shema and the Amidah. It consists of nine chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Berakhot,Mishna Berakhot,M Berakhot,Mishna Berachot,Mishnah Brachot,Mishna Brachot,Mishnah Berachot	משנה ברכות		Mishnah,Seder Zeraim
Mishnah Peah	N/A	Peah (Corner) belongs to the first order, Zera'im (seeds) and discusses the regulations concerning the commandment to leave the corner of one's field for the poor as stated in Leviticus 19:9-10, Leviticus 23:22; Deuteronomy 24:19-22, and with the rights of the poor in general. It consists of eight chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Peah,Mishna Peah,M. Peah	משנה פאה	פאה	Mishnah,Seder Zeraim
Mishnah Demai	N/A	Demai (Doubtful Produce) belongs to the first order, Zera'im (seeds) and discusses various cases in which it is not certain whether the priestly donations have been taken from produce. It consists of seven chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Demai,M Demai,M. Demai	משנה דמאי	דמאי	Mishnah,Seder Zeraim
Mishnah Kilayim	N/A	Kilyaim (Of Two Sorts) belongs to the first order, Zera'im (seeds) and discusses rules regarding forbidden mixtures in agriculture, clothing and breeding, as stated in Leviticus 19:19; Deuteronomy 22:9-11. It consists of nine chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Kilayim,M Kilayim,Mishna Kilayim	משנה כלאים		Mishnah,Seder Zeraim
Mishnah Sheviit	N/A	Sheviit (Seventh Year) belongs to the first order, Zera'im (seeds) and discusses rules of agricultural and fiscal regulations concerning the Sabbatical Year, as stated in Exodus 23:11, Leviticus 25:1-8, Deuteronomy 15:1-11. It consists of ten chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Sheviit,Mishna Sheviit,M. Sheviit,Shevi'it,Sheviit	משנה שביעית	שביעית	Mishnah,Seder Zeraim
Mishnah Terumot	N/A	Terumot (Donations) belongs to the first order, Zera'im (seeds) and discusses it the laws regarding the terumah donation given to the Kohanim (Jewish priests), as stated in Numbers 18:8-20, Deuteronomy 18:4. It consists of eleven chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Terumot,M. Terumot,M Terumot	משנה תרומות	תרומות	Mishnah,Seder Zeraim
Mishnah Maasrot	N/A	Maaserot (Tithes) belongs to the first order, Zera'im (seeds) and discusses the rules regarding the first tithe (Maaseh Rishon) to be given to the Levites, as stated in Numbers 18:21-24. It consists of five chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Maasrot,M Maasrot,Mishna Maasrot	משנה מעשרות	מעשרות	Mishnah,Seder Zeraim
Mishnah Maaser Sheni	N/A	Maaseh Sheni (Second Tithes) belongs to the first order, Zera'im (seeds) and discusses the rules concerning the tithe which was to be eaten in Jerusalem, as stated in Deuteronomy 14:22-26. It consists of five chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Maaser Sheni,Mishna Maaser Sheni,M Maaser Sheni	משנה מעשר שני	מעשר שני	Mishnah,Seder Zeraim
Mishnah Challah	N/A	Hallah (Glob of Dough) belongs to the first order, Zera'im (seeds) and discusses the laws regarding the hallah offering of dough to be given to the Kohanim, as stated in Numbers 15:18-21. It consists of four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Challah,M Challah,Mishna Challah	משנה חלה	חלה	Mishnah,Seder Zeraim
Mishnah Orlah	N/A	Orlah (Blockage [of Trees]) belongs to the first order, Zera'im (seeds) and discusses the first-fruit gifts to the Kohanim and Temple, as stated in Exodus 23:19; Deuteronomy 26:1. It consists of three to four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Orlah,Mishna Orlah,M. Orlah	משנה ערלה	ערלה	Mishnah,Seder Zeraim
Mishnah Bikkurim	N/A	Bikkurim (First-Fruits) belongs to the first order, Zera'im (seeds) and discusses the prohibition of the immediate use of a tree after it has been planted, as stated in Leviticus 19:23-25. It consists of three chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Bikkurim,Mishna Bikkurim,M. Bikkurim	משנה ביכורים	ביכורים	Mishnah,Seder Zeraim
Mishnah Shabbat	N/A	Shabbat (Sabbath) belongs to the second order, Moed (Festivals) and discusses the 39 prohibitions of "work" on the Shabbat. It has twenty four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Shabbat,M. Shabbat,Mishna Shabbat	משנה שבת		Mishnah,Seder Moed
Mishnah Eruvin	N/A	Eruvim (Mixtures) belongs to the second order, Moed (Festivals) and discusses the Eruv or Sabbath-bound - a category of constructions/delineations that alter the domains of the Sabbath for carrying and travel. It has ten chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Eruvin,M. Eruvin,Mishna Eruvin	משנה עירובין		Mishnah,Seder Moed
